userName;score;content;Layanan;Fitur;Kebermanfaatan;Bisnis;Non Aspek;jumlah_aspek_disebut;casefolded;cleaned;tokens;filtered;normalized;stemmed;final_text
klontong chenell;1;Kenapa saya lasih bintang1?? Bukalapak itu aneh, meminta pembatan pesanan karena,lapak sudah hampir 24 jam belum di kirim, dan di chat pelapak gak aktif sudah 20 jam, dan di aplikasi tertulis menunggu persetujuan pelapak, niat hati si pingin cari solusi , masuk pusat bantuan , eh jawabannya sama aja , nunggu konfirmasi persetujuan pelapak, terus fungsinya CS apa? mungkin kalau lapak merespon, saya juga gak mengajukan pembatalan, mungkin juga kalau lapak aktif langsung di konfirmasi permint;-1;0;0;0;-1;2;kenapa saya lasih bintang1?? bukalapak itu aneh, meminta pembatan pesanan karena,lapak sudah hampir 24 jam belum di kirim, dan di chat pelapak gak aktif sudah 20 jam, dan di aplikasi tertulis menunggu persetujuan pelapak, niat hati si pingin cari solusi , masuk pusat bantuan , eh jawabannya sama aja , nunggu konfirmasi persetujuan pelapak, terus fungsinya cs apa? mungkin kalau lapak merespon, saya juga gak mengajukan pembatalan, mungkin juga kalau lapak aktif langsung di konfirmasi permint;kenapa saya lasih bintang bukalapak itu aneh meminta pembatan pesanan karena lapak sudah hampir jam belum di kirim dan di chat pelapak gak aktif sudah jam dan di aplikasi tertulis menunggu persetujuan pelapak niat hati si pingin cari solusi masuk pusat bantuan eh jawabannya sama aja nunggu konfirmasi persetujuan pelapak terus fungsinya cs apa mungkin kalau lapak merespon saya juga gak mengajukan pembatalan mungkin juga kalau lapak aktif langsung di konfirmasi permint;['kenapa', 'saya', 'lasih', 'bintang', 'bukalapak', 'itu', 'aneh', 'meminta', 'pembatan', 'pesanan', 'karena', 'lapak', 'sudah', 'hampir', 'jam', 'belum', 'di', 'kirim', 'dan', 'di', 'chat', 'pelapak', 'gak', 'aktif', 'sudah', 'jam', 'dan', 'di', 'aplikasi', 'tertulis', 'menunggu', 'persetujuan', 'pelapak', 'niat', 'hati', 'si', 'pingin', 'cari', 'solusi', 'masuk', 'pusat', 'bantuan', 'eh', 'jawabannya', 'sama', 'aja', 'nunggu', 'konfirmasi', 'persetujuan', 'pelapak', 'terus', 'fungsinya', 'cs', 'apa', 'mungkin', 'kalau', 'lapak', 'merespon', 'saya', 'juga', 'gak', 'mengajukan', 'pembatalan', 'mungkin', 'juga', 'kalau', 'lapak', 'aktif', 'langsung', 'di', 'konfirmasi', 'permint'];['lasih', 'bintang', 'bukalapak', 'aneh', 'pembatan', 'pesanan', 'lapak', 'jam', 'kirim', 'chat', 'pelapak', 'gak', 'aktif', 'jam', 'aplikasi', 'tertulis', 'menunggu', 'persetujuan', 'pelapak', 'niat', 'hati', 'si', 'pingin', 'cari', 'solusi', 'masuk', 'pusat', 'bantuan', 'eh', 'jawabannya', 'aja', 'nunggu', 'konfirmasi', 'persetujuan', 'pelapak', 'fungsinya', 'cs', 'lapak', 'merespon', 'gak', 'mengajukan', 'pembatalan', 'lapak', 'aktif', 'langsung', 'konfirmasi', 'permint'];['lasih', 'bintang', 'bukalapak', 'aneh', 'pembatan', 'pesanan', 'lapak', 'jam', 'kirim', 'chat', 'pelapak', 'gak', 'aktif', 'jam', 'aplikasi', 'tertulis', 'menunggu', 'persetujuan', 'pelapak', 'niat', 'hati', 'si', 'pingin', 'cari', 'solusi', 'masuk', 'pusat', 'bantuan', 'eh', 'jawabannya', 'saja', 'nunggu', 'konfirmasi', 'persetujuan', 'pelapak', 'fungsinya', 'cs', 'lapak', 'merespon', 'gak', 'mengajukan', 'pembatalan', 'lapak', 'aktif', 'langsung', 'konfirmasi', 'permint'];['lasih', 'bintang', 'bukalapak', 'aneh', 'pembatan', 'pesan', 'lapak', 'jam', 'kirim', 'chat', 'lapak', 'gak', 'aktif', 'jam', 'aplikasi', 'tulis', 'tunggu', 'tuju', 'lapak', 'niat', 'hati', 'si', 'pingin', 'cari', 'solusi', 'masuk', 'pusat', 'bantu', 'eh', 'jawab', 'saja', 'nunggu', 'konfirmasi', 'tuju', 'lapak', 'fungsi', 'cs', 'lapak', 'merespon', 'gak', 'aju', 'batal', 'lapak', 'aktif', 'langsung', 'konfirmasi', 'permint'];lasih bintang bukalapak aneh pembatan pesan lapak jam kirim chat lapak gak aktif jam aplikasi tulis tunggu tuju lapak niat hati si pingin cari solusi masuk pusat bantu eh jawab saja nunggu konfirmasi tuju lapak fungsi cs lapak merespon gak aju batal lapak aktif langsung konfirmasi permint
Gilang pramono seto;1;No recomeded.....masa pakai BL paylater....beli pulsa prabayar....50rb...kena cas biaya admin nya 20rb. Mendingan beli di konter biasa cuma kena 2rb doang. Nyesel gue;-1;0;0;0;0;1;no recomeded.....masa pakai bl paylater....beli pulsa prabayar....50rb...kena cas biaya admin nya 20rb. mendingan beli di konter biasa cuma kena 2rb doang. nyesel gue;no recomeded masa pakai bl paylater beli pulsa prabayar rb kena cas biaya admin nya rb mendingan beli di konter biasa cuma kena rb doang nyesel gue;['no', 'recomeded', 'masa', 'pakai', 'bl', 'paylater', 'beli', 'pulsa', 'prabayar', 'rb', 'kena', 'cas', 'biaya', 'admin', 'nya', 'rb', 'mendingan', 'beli', 'di', 'konter', 'biasa', 'cuma', 'kena', 'rb', 'doang', 'nyesel', 'gue'];['no', 'recomeded', 'pakai', 'bl', 'paylater', 'beli', 'pulsa', 'prabayar', 'rb', 'kena', 'cas', 'biaya', 'admin', 'nya', 'rb', 'mendingan', 'beli', 'konter', 'kena', 'rb', 'doang', 'nyesel', 'gue'];['no', 'recomeded', 'pakai', 'bl', 'paylater', 'beli', 'pulsa', 'prabayar', 'rb', 'kena', 'cas', 'biaya', 'admin', 'nya', 'rb', 'mendingan', 'beli', 'konter', 'kena', 'rb', 'doang', 'nyesel', 'saya'];['no', 'recomeded', 'pakai', 'bl', 'paylater', 'beli', 'pulsa', 'prabayar', 'rb', 'kena', 'cas', 'biaya', 'admin', 'nya', 'rb', 'mending', 'beli', 'konter', 'kena', 'rb', 'doang', 'nyesel', 'saya'];no recomeded pakai bl paylater beli pulsa prabayar rb kena cas biaya admin nya rb mending beli konter kena rb doang nyesel saya
Ayudia Inara;3;Aplikasinya sih bagus.. cuma saya mau minta tolong kepada pihak buka lapak.. tolong intruksikan lagi kepada seluruh pelapak,, klo setiap pengiriman harus di cek lagi,, soalnya banyak yg salah kirim/tertukar..;0;1;0;-1;0;2;aplikasinya sih bagus.. cuma saya mau minta tolong kepada pihak buka lapak.. tolong intruksikan lagi kepada seluruh pelapak,, klo setiap pengiriman harus di cek lagi,, soalnya banyak yg salah kirim/tertukar..;aplikasinya sih bagus cuma saya mau minta tolong kepada pihak buka lapak tolong intruksikan lagi kepada seluruh pelapak klo setiap pengiriman harus di cek lagi soalnya banyak yg salah kirim tertukar;['aplikasinya', 'sih', 'bagus', 'cuma', 'saya', 'mau', 'minta', 'tolong', 'kepada', 'pihak', 'buka', 'lapak', 'tolong', 'intruksikan', 'lagi', 'kepada', 'seluruh', 'pelapak', 'klo', 'setiap', 'pengiriman', 'harus', 'di', 'cek', 'lagi', 'soalnya', 'banyak', 'yg', 'salah', 'kirim', 'tertukar'];['aplikasinya', 'sih', 'bagus', 'tolong', 'buka', 'lapak', 'tolong', 'intruksikan', 'pelapak', 'klo', 'pengiriman', 'cek', 'yg', 'salah', 'kirim', 'tertukar'];['aplikasinya', 'sih', 'bagus', 'tolong', 'buka', 'lapak', 'tolong', 'intruksikan', 'pelapak', 'klo', 'pengiriman', 'cek', 'yg', 'salah', 'kirim', 'tertukar'];['aplikasi', 'sih', 'bagus', 'tolong', 'buka', 'lapak', 'tolong', 'intruksikan', 'lapak', 'klo', 'kirim', 'cek', 'yg', 'salah', 'kirim', 'tukar'];aplikasi sih bagus tolong buka lapak tolong intruksikan lapak klo kirim cek yg salah kirim tukar
endra respati;5;Mantap, sesuai dan mengerti akan kebutuhan dengan kondiso saat ini.;0;0;0;0;1;1;mantap, sesuai dan mengerti akan kebutuhan dengan kondiso saat ini.;mantap sesuai dan mengerti akan kebutuhan dengan kondiso saat ini;['mantap', 'sesuai', 'dan', 'mengerti', 'akan', 'kebutuhan', 'dengan', 'kondiso', 'saat', 'ini'];['mantap', 'sesuai', 'mengerti', 'kebutuhan', 'kondiso'];['mantap', 'sesuai', 'mengerti', 'kebutuhan', 'kondiso'];['mantap', 'sesuai', 'erti', 'butuh', 'kondiso'];mantap sesuai erti butuh kondiso
Adika Saputra;1;Penjualan Buka Reksa belum di kirim tapi status sudah Selesai. Nomor rekening sudah benar tertulis. Kalo tidak di kirim juga ini namanya penggelapan;0;0;0;-1;0;1;penjualan buka reksa belum di kirim tapi status sudah selesai. nomor rekening sudah benar tertulis. kalo tidak di kirim juga ini namanya penggelapan;penjualan buka reksa belum di kirim tapi status sudah selesai nomor rekening sudah benar tertulis kalo tidak di kirim juga ini namanya penggelapan;['penjualan', 'buka', 'reksa', 'belum', 'di', 'kirim', 'tapi', 'status', 'sudah', 'selesai', 'nomor', 'rekening', 'sudah', 'benar', 'tertulis', 'kalo', 'tidak', 'di', 'kirim', 'juga', 'ini', 'namanya', 'penggelapan'];['penjualan', 'buka', 'reksa', 'kirim', 'status', 'selesai', 'nomor', 'rekening', 'tertulis', 'kalo', 'kirim', 'namanya', 'penggelapan'];['penjualan', 'buka', 'reksa', 'kirim', 'status', 'selesai', 'nomor', 'rekening', 'tertulis', 'kalo', 'kirim', 'namanya', 'penggelapan'];['jual', 'buka', 'reksa', 'kirim', 'status', 'selesai', 'nomor', 'rekening', 'tulis', 'kalo', 'kirim', 'nama', 'gelap'];jual buka reksa kirim status selesai nomor rekening tulis kalo kirim nama gelap
SUHENDY DOANK;5;Transaksi d bukalapak ga pernah d rugikan pokonya aman dan nyaman..kl bisa banyakin gratis ongkir kaya sebelah......mantap bukalapak semoga tambah maju.....;1;0;0;0;1;2;transaksi d bukalapak ga pernah d rugikan pokonya aman dan nyaman..kl bisa banyakin gratis ongkir kaya sebelah......mantap bukalapak semoga tambah maju.....;transaksi d bukalapak ga pernah d rugikan pokonya aman dan nyaman kl bisa banyakin gratis ongkir kaya sebelah mantap bukalapak semoga tambah maju;['transaksi', 'd', 'bukalapak', 'ga', 'pernah', 'd', 'rugikan', 'pokonya', 'aman', 'dan', 'nyaman', 'kl', 'bisa', 'banyakin', 'gratis', 'ongkir', 'kaya', 'sebelah', 'mantap', 'bukalapak', 'semoga', 'tambah', 'maju'];['transaksi', 'd', 'bukalapak', 'ga', 'd', 'rugikan', 'pokonya', 'aman', 'nyaman', 'kl', 'banyakin', 'gratis', 'ongkir', 'kaya', 'sebelah', 'mantap', 'bukalapak', 'semoga', 'maju'];['transaksi', 'd', 'bukalapak', 'tidak', 'd', 'rugikan', 'pokonya', 'aman', 'nyaman', 'kl', 'banyakin', 'gratis', 'ongkir', 'kaya', 'sebelah', 'mantap', 'bukalapak', 'semoga', 'maju'];['transaksi', 'd', 'bukalapak', 'tidak', 'd', 'rugi', 'poko', 'aman', 'nyaman', 'kl', 'banyakin', 'gratis', 'ongkir', 'kaya', 'belah', 'mantap', 'bukalapak', 'moga', 'maju'];transaksi d bukalapak tidak d rugi poko aman nyaman kl banyakin gratis ongkir kaya belah mantap bukalapak moga maju
Y KuRniAwaN;2;Tampilan yg baru aga susah tracking pesanan... Klo dulu di detail transaksi udah ada...sekarang bingung mo ngeceknya dimana??!;0;-1;0;0;0;1;tampilan yg baru aga susah tracking pesanan... klo dulu di detail transaksi udah ada...sekarang bingung mo ngeceknya dimana??!;tampilan yg baru aga susah tracking pesanan klo dulu di detail transaksi udah ada sekarang bingung mo ngeceknya dimana;['tampilan', 'yg', 'baru', 'aga', 'susah', 'tracking', 'pesanan', 'klo', 'dulu', 'di', 'detail', 'transaksi', 'udah', 'ada', 'sekarang', 'bingung', 'mo', 'ngeceknya', 'dimana'];['tampilan', 'yg', 'aga', 'susah', 'tracking', 'pesanan', 'klo', 'detail', 'transaksi', 'udah', 'bingung', 'mo', 'ngeceknya', 'dimana'];['tampilan', 'yg', 'aga', 'susah', 'tracking', 'pesanan', 'klo', 'detail', 'transaksi', 'sudah', 'bingung', 'mo', 'ngeceknya', 'dimana'];['tampil', 'yg', 'aga', 'susah', 'tracking', 'pesan', 'klo', 'detail', 'transaksi', 'sudah', 'bingung', 'mo', 'ngeceknya', 'mana'];tampil yg aga susah tracking pesan klo detail transaksi sudah bingung mo ngeceknya mana
Riski Roblox;5;Sering ada promo dan gratis ongkir ya;0;0;0;1;0;1;sering ada promo dan gratis ongkir ya;sering ada promo dan gratis ongkir ya;['sering', 'ada', 'promo', 'dan', 'gratis', 'ongkir', 'ya'];['promo', 'gratis', 'ongkir', 'ya'];['promo', 'gratis', 'ongkir', 'ya'];['promo', 'gratis', 'ongkir', 'ya'];promo gratis ongkir ya
Suwandi Suwandi;3;Saya jarang sekali belanja disini,kurang komplit ,mohon di tingkan untuk segi kwantitasnya .mohon maaf apabila ada ulasan saya yg kurang berkenan.🙏🙏;0;0;0;0;-1;1;saya jarang sekali belanja disini,kurang komplit ,mohon di tingkan untuk segi kwantitasnya .mohon maaf apabila ada ulasan saya yg kurang berkenan.🙏🙏;saya jarang sekali belanja disini kurang komplit mohon di tingkan untuk segi kwantitasnya mohon maaf apabila ada ulasan saya yg kurang berkenan;['saya', 'jarang', 'sekali', 'belanja', 'disini', 'kurang', 'komplit', 'mohon', 'di', 'tingkan', 'untuk', 'segi', 'kwantitasnya', 'mohon', 'maaf', 'apabila', 'ada', 'ulasan', 'saya', 'yg', 'kurang', 'berkenan'];['jarang', 'belanja', 'komplit', 'mohon', 'tingkan', 'segi', 'kwantitasnya', 'mohon', 'maaf', 'ulasan', 'yg', 'berkenan'];['jarang', 'belanja', 'komplit', 'mohon', 'tingkan', 'segi', 'kwantitasnya', 'mohon', 'maaf', 'ulasan', 'yg', 'berkenan'];['jarang', 'belanja', 'komplit', 'mohon', 'ting', 'segi', 'kwantitasnya', 'mohon', 'maaf', 'ulas', 'yg', 'kenan'];jarang belanja komplit mohon ting segi kwantitasnya mohon maaf ulas yg kenan
Tarmizi Hardianto ibn Supianto;1;Ga bisa login, formulir kehilangannya ga respon;0;-1;0;0;-1;2;ga bisa login, formulir kehilangannya ga respon;ga bisa login formulir kehilangannya ga respon;['ga', 'bisa', 'login', 'formulir', 'kehilangannya', 'ga', 'respon'];['ga', 'login', 'formulir', 'kehilangannya', 'ga', 'respon'];['tidak', 'login', 'formulir', 'kehilangannya', 'tidak', 'respon'];['tidak', 'login', 'formulir', 'hilang', 'tidak', 'respon'];tidak login formulir hilang tidak respon
Imam Maulana;5;Aplikasi jual beli yg sangat membantu untuk mencari barang yg diinginkan Apalagi klu ada diskon dan gratis ongkir Wah tambah jozz!;0;0;1;0;0;1;aplikasi jual beli yg sangat membantu untuk mencari barang yg diinginkan apalagi klu ada diskon dan gratis ongkir wah tambah jozz!;aplikasi jual beli yg sangat membantu untuk mencari barang yg diinginkan apalagi klu ada diskon dan gratis ongkir wah tambah jozz;['aplikasi', 'jual', 'beli', 'yg', 'sangat', 'membantu', 'untuk', 'mencari', 'barang', 'yg', 'diinginkan', 'apalagi', 'klu', 'ada', 'diskon', 'dan', 'gratis', 'ongkir', 'wah', 'tambah', 'jozz'];['aplikasi', 'jual', 'beli', 'yg', 'membantu', 'mencari', 'barang', 'yg', 'klu', 'diskon', 'gratis', 'ongkir', 'jozz'];['aplikasi', 'jual', 'beli', 'yg', 'membantu', 'mencari', 'barang', 'yg', 'klu', 'diskon', 'gratis', 'ongkir', 'jozz'];['aplikasi', 'jual', 'beli', 'yg', 'bantu', 'cari', 'barang', 'yg', 'klu', 'diskon', 'gratis', 'ongkir', 'jozz'];aplikasi jual beli yg bantu cari barang yg klu diskon gratis ongkir jozz
T.R. L;5;Suka banget belanja di Bl Ngga mengecawakan Deskripsi penjual sesuai barang, MANTAP;0;0;0;1;0;1;suka banget belanja di bl ngga mengecawakan deskripsi penjual sesuai barang, mantap;suka banget belanja di bl ngga mengecawakan deskripsi penjual sesuai barang mantap;['suka', 'banget', 'belanja', 'di', 'bl', 'ngga', 'mengecawakan', 'deskripsi', 'penjual', 'sesuai', 'barang', 'mantap'];['suka', 'banget', 'belanja', 'bl', 'ngga', 'mengecawakan', 'deskripsi', 'penjual', 'sesuai', 'barang', 'mantap'];['suka', 'banget', 'belanja', 'bl', 'tidak', 'mengecawakan', 'deskripsi', 'penjual', 'sesuai', 'barang', 'mantap'];['suka', 'banget', 'belanja', 'bl', 'tidak', 'cawak', 'deskripsi', 'jual', 'sesuai', 'barang', 'mantap'];suka banget belanja bl tidak cawak deskripsi jual sesuai barang mantap
Alfian Duta Krisnadi;5;Bagi saya Bukalapak sudah menemani perjalanan belanja online saya selama lima tahun dari segi Fitur UI/UX nya bagus dan rapih saya belanja online disini memang pelayanan cepat dan fleksibel & orderan sampai di rumah dengan cepat semoga kedepannya lebih baik lagi;1;1;0;1;0;3;bagi saya bukalapak sudah menemani perjalanan belanja online saya selama lima tahun dari segi fitur ui/ux nya bagus dan rapih saya belanja online disini memang pelayanan cepat dan fleksibel & orderan sampai di rumah dengan cepat semoga kedepannya lebih baik lagi;bagi saya bukalapak sudah menemani perjalanan belanja online saya selama lima tahun dari segi fitur ui ux nya bagus dan rapih saya belanja online disini memang pelayanan cepat dan fleksibel orderan sampai di rumah dengan cepat semoga kedepannya lebih baik lagi;['bagi', 'saya', 'bukalapak', 'sudah', 'menemani', 'perjalanan', 'belanja', 'online', 'saya', 'selama', 'lima', 'tahun', 'dari', 'segi', 'fitur', 'ui', 'ux', 'nya', 'bagus', 'dan', 'rapih', 'saya', 'belanja', 'online', 'disini', 'memang', 'pelayanan', 'cepat', 'dan', 'fleksibel', 'orderan', 'sampai', 'di', 'rumah', 'dengan', 'cepat', 'semoga', 'kedepannya', 'lebih', 'baik', 'lagi'];['bukalapak', 'menemani', 'perjalanan', 'belanja', 'online', 'segi', 'fitur', 'ui', 'ux', 'nya', 'bagus', 'rapih', 'belanja', 'online', 'pelayanan', 'cepat', 'fleksibel', 'orderan', 'rumah', 'cepat', 'semoga', 'kedepannya'];['bukalapak', 'menemani', 'perjalanan', 'belanja', 'online', 'segi', 'fitur', 'ui', 'ux', 'nya', 'bagus', 'rapih', 'belanja', 'online', 'pelayanan', 'cepat', 'fleksibel', 'orderan', 'rumah', 'cepat', 'semoga', 'kedepannya'];['bukalapak', 'tani', 'jalan', 'belanja', 'online', 'segi', 'fitur', 'ui', 'ux', 'nya', 'bagus', 'rapih', 'belanja', 'online', 'layan', 'cepat', 'fleksibel', 'order', 'rumah', 'cepat', 'moga', 'depan'];bukalapak tani jalan belanja online segi fitur ui ux nya bagus rapih belanja online layan cepat fleksibel order rumah cepat moga depan
Rahman nurhakim83;1;Sepertinya BL.makin kemari semakin tidak profesional,banyaknya komplenan di ulasan apk kok gak di respon,..;-1;0;0;0;-1;2;sepertinya bl.makin kemari semakin tidak profesional,banyaknya komplenan di ulasan apk kok gak di respon,..;sepertinya bl makin kemari semakin tidak profesional banyaknya komplenan di ulasan apk kok gak di respon;['sepertinya', 'bl', 'makin', 'kemari', 'semakin', 'tidak', 'profesional', 'banyaknya', 'komplenan', 'di', 'ulasan', 'apk', 'kok', 'gak', 'di', 'respon'];['bl', 'kemari', 'profesional', 'banyaknya', 'komplenan', 'ulasan', 'apk', 'gak', 'respon'];['bl', 'kemari', 'profesional', 'banyaknya', 'komplenan', 'ulasan', 'apk', 'gak', 'respon'];['bl', 'kemari', 'profesional', 'banyak', 'komplenan', 'ulas', 'apk', 'gak', 'respon'];bl kemari profesional banyak komplenan ulas apk gak respon
krisna aldi;1;Parah banget ni aplikasi Pembayaran udah selesai dpt pesan di email pembayaran sudah diterima,ehh di apk keterangannya belum bayar Mana hubungin cs sulit, kaga ada responnya lagi, sekali jawab kaga nyambung ⭐;-1;0;0;0;0;1;parah banget ni aplikasi pembayaran udah selesai dpt pesan di email pembayaran sudah diterima,ehh di apk keterangannya belum bayar mana hubungin cs sulit, kaga ada responnya lagi, sekali jawab kaga nyambung ⭐;parah banget ni aplikasi pembayaran udah selesai dpt pesan di email pembayaran sudah diterima ehh di apk keterangannya belum bayar mana hubungin cs sulit kaga ada responnya lagi sekali jawab kaga nyambung;['parah', 'banget', 'ni', 'aplikasi', 'pembayaran', 'udah', 'selesai', 'dpt', 'pesan', 'di', 'email', 'pembayaran', 'sudah', 'diterima', 'ehh', 'di', 'apk', 'keterangannya', 'belum', 'bayar', 'mana', 'hubungin', 'cs', 'sulit', 'kaga', 'ada', 'responnya', 'lagi', 'sekali', 'jawab', 'kaga', 'nyambung'];['parah', 'banget', 'ni', 'aplikasi', 'pembayaran', 'udah', 'selesai', 'dpt', 'pesan', 'email', 'pembayaran', 'diterima', 'ehh', 'apk', 'keterangannya', 'bayar', 'hubungin', 'cs', 'sulit', 'kaga', 'responnya', 'kaga', 'nyambung'];['parah', 'banget', 'ni', 'aplikasi', 'pembayaran', 'sudah', 'selesai', 'dapat', 'pesan', 'email', 'pembayaran', 'diterima', 'ehh', 'apk', 'keterangannya', 'bayar', 'hubungin', 'cs', 'sulit', 'tidak', 'responnya', 'tidak', 'nyambung'];['parah', 'banget', 'ni', 'aplikasi', 'bayar', 'sudah', 'selesai', 'dapat', 'pesan', 'email', 'bayar', 'terima', 'ehh', 'apk', 'terang', 'bayar', 'hubungin', 'cs', 'sulit', 'tidak', 'responnya', 'tidak', 'nyambung'];parah banget ni aplikasi bayar sudah selesai dapat pesan email bayar terima ehh apk terang bayar hubungin cs sulit tidak responnya tidak nyambung
Nelly Isbandiyah;1;Saya sudah pernah login dg email. Tp pswordny lupa. Aneh nya kenapa penggantian pasword otomatis ke nomer hp lama. Kbtulan nomer hp sudah tidak aktif dan ganti. Berkali2 sperti itu selalu ke no hp. Tidak ada pilihan penggantian pasword lewat email. Pdhl email masih aktif kenapa tidak lewat email saja. Kenapa harus terotomatis ke nomer hp. Tolong saya bagaimana cara perbaiki. Nomor sudah hilang tdk ada.;0;0;0;0;-1;1;saya sudah pernah login dg email. tp pswordny lupa. aneh nya kenapa penggantian pasword otomatis ke nomer hp lama. kbtulan nomer hp sudah tidak aktif dan ganti. berkali2 sperti itu selalu ke no hp. tidak ada pilihan penggantian pasword lewat email. pdhl email masih aktif kenapa tidak lewat email saja. kenapa harus terotomatis ke nomer hp. tolong saya bagaimana cara perbaiki. nomor sudah hilang tdk ada.;saya sudah pernah login dg email tp pswordny lupa aneh nya kenapa penggantian pasword otomatis ke nomer hp lama kbtulan nomer hp sudah tidak aktif dan ganti berkali sperti itu selalu ke no hp tidak ada pilihan penggantian pasword lewat email pdhl email masih aktif kenapa tidak lewat email saja kenapa harus terotomatis ke nomer hp tolong saya bagaimana cara perbaiki nomor sudah hilang tdk ada;['saya', 'sudah', 'pernah', 'login', 'dg', 'email', 'tp', 'pswordny', 'lupa', 'aneh', 'nya', 'kenapa', 'penggantian', 'pasword', 'otomatis', 'ke', 'nomer', 'hp', 'lama', 'kbtulan', 'nomer', 'hp', 'sudah', 'tidak', 'aktif', 'dan', 'ganti', 'berkali', 'sperti', 'itu', 'selalu', 'ke', 'no', 'hp', 'tidak', 'ada', 'pilihan', 'penggantian', 'pasword', 'lewat', 'email', 'pdhl', 'email', 'masih', 'aktif', 'kenapa', 'tidak', 'lewat', 'email', 'saja', 'kenapa', 'harus', 'terotomatis', 'ke', 'nomer', 'hp', 'tolong', 'saya', 'bagaimana', 'cara', 'perbaiki', 'nomor', 'sudah', 'hilang', 'tdk', 'ada'];['login', 'dg', 'email', 'tp', 'pswordny', 'lupa', 'aneh', 'nya', 'penggantian', 'pasword', 'otomatis', 'nomer', 'hp', 'kbtulan', 'nomer', 'hp', 'aktif', 'ganti', 'berkali', 'sperti', 'no', 'hp', 'pilihan', 'penggantian', 'pasword', 'email', 'pdhl', 'email', 'aktif', 'email', 'terotomatis', 'nomer', 'hp', 'tolong', 'perbaiki', 'nomor', 'hilang', 'tdk'];['login', 'dg', 'email', 'tapi', 'pswordny', 'lupa', 'aneh', 'nya', 'penggantian', 'pasword', 'otomatis', 'nomer', 'hp', 'kbtulan', 'nomer', 'hp', 'aktif', 'ganti', 'berkali', 'sperti', 'no', 'hp', 'pilihan', 'penggantian', 'pasword', 'email', 'pdhl', 'email', 'aktif', 'email', 'terotomatis', 'nomer', 'hp', 'tolong', 'perbaiki', 'nomor', 'hilang', 'tidak'];['login', 'dg', 'email', 'tapi', 'pswordny', 'lupa', 'aneh', 'nya', 'ganti', 'pasword', 'otomatis', 'nomer', 'hp', 'kbtulan', 'nomer', 'hp', 'aktif', 'ganti', 'kali', 'sperti', 'no', 'hp', 'pilih', 'ganti', 'pasword', 'email', 'pdhl', 'email', 'aktif', 'email', 'otomat', 'nomer', 'hp', 'tolong', 'baik', 'nomor', 'hilang', 'tidak'];login dg email tapi pswordny lupa aneh nya ganti pasword otomatis nomer hp kbtulan nomer hp aktif ganti kali sperti no hp pilih ganti pasword email pdhl email aktif email otomat nomer hp tolong baik nomor hilang tidak
Arif Taufiq;1;"Ada aja seller yng ngga amanah,,ngaku ny lgi dikirim..masa sampe 1 bulan ngga nyampe""";0;0;0;-1;0;1;"ada aja seller yng ngga amanah,,ngaku ny lgi dikirim..masa sampe 1 bulan ngga nyampe""";ada aja seller yng ngga amanah ngaku ny lgi dikirim masa sampe bulan ngga nyampe;['ada', 'aja', 'seller', 'yng', 'ngga', 'amanah', 'ngaku', 'ny', 'lgi', 'dikirim', 'masa', 'sampe', 'bulan', 'ngga', 'nyampe'];['aja', 'seller', 'yng', 'ngga', 'amanah', 'ngaku', 'ny', 'lgi', 'dikirim', 'sampe', 'ngga', 'nyampe'];['saja', 'seller', 'yng', 'tidak', 'amanah', 'ngaku', 'nya', 'lgi', 'dikirim', 'sampai', 'tidak', 'nyampe'];['saja', 'seller', 'yng', 'tidak', 'amanah', 'ngaku', 'nya', 'lgi', 'kirim', 'sampai', 'tidak', 'nyampe'];saja seller yng tidak amanah ngaku nya lgi kirim sampai tidak nyampe
Andreadea Bae;5;Cukup puas belanja di bukalapak smoga sukses selalu kedepannya Bukalapak yes.;0;0;0;1;0;1;cukup puas belanja di bukalapak smoga sukses selalu kedepannya bukalapak yes.;cukup puas belanja di bukalapak smoga sukses selalu kedepannya bukalapak yes;['cukup', 'puas', 'belanja', 'di', 'bukalapak', 'smoga', 'sukses', 'selalu', 'kedepannya', 'bukalapak', 'yes'];['puas', 'belanja', 'bukalapak', 'smoga', 'sukses', 'kedepannya', 'bukalapak', 'yes'];['puas', 'belanja', 'bukalapak', 'smoga', 'sukses', 'kedepannya', 'bukalapak', 'yes'];['puas', 'belanja', 'bukalapak', 'smoga', 'sukses', 'depan', 'bukalapak', 'yes'];puas belanja bukalapak smoga sukses depan bukalapak yes
